"gamma"	"tau"	"n2"	"n1"	"loadings"	"varw"	"ASR"	"Pwr"	"cr"	"secr"	"biascr"	"RBcr"	"RSEBcr"	"MSEcr"
"3"	0.4	0.1	50	10	1	1	0.996	0.306	0.410779350327501	0.270918164741558	0.0107793503275013	0.0269483758187532	0.058260601965616	0.0656538638670406
"39"	0.4	0.1	50	10	2	1	0.995	0.312	0.372176986597217	0.243894126242296	-0.0278230134027835	-0.0695575335069587	0.0222437597879872	0.05769790200258
"75"	0.4	0.1	50	10	3	1	0.999	0.282	0.320050674804606	0.218541539322613	-0.0799493251953939	-0.199873312988485	0.0117469826979375	0.0530496841327987
"111"	0.4	0.1	50	10	1	2	0.991	0.292	0.391258421485097	0.273253743576249	-0.00874157851490348	-0.0218539462872587	0.0173909538617124	0.0722131528067508
"147"	0.4	0.1	50	10	2	2	0.996	0.291	0.35578360211144	0.244463608099358	-0.0442163978885603	-0.110540994721401	0.0236445398009366	0.0589885980226935
"183"	0.4	0.1	50	10	3	2	0.995	0.299	0.330415211982874	0.218093004142466	-0.0695847880171259	-0.173961970042815	0.0477292220416917	0.0481717101539893
"21"	0.4	0.1	50	20	1	1	1	0.376	0.403582851597033	0.236272799659949	0.0035828515970332	0.008957128992583	-0.00113343251389711	0.055964435527765
"57"	0.4	0.1	50	20	2	1	1	0.368	0.355852954143076	0.212205977177332	-0.044147045856924	-0.11036761464231	0.0368735361712012	0.0438344559001966
"93"	0.4	0.1	50	20	3	1	1	0.352	0.314233355686272	0.189645316407137	-0.0857666443137283	-0.214416610784321	-0.0295031393382424	0.0455411967408497
"129"	0.4	0.1	50	20	1	2	0.999	0.394	0.398378706003579	0.235964092452351	-0.00162129399642114	-0.00405323499105284	0.00512565681470526	0.0551152567462718
"165"	0.4	0.1	50	20	2	2	1	0.377	0.365490968379409	0.214235336611532	-0.0345090316205914	-0.0862725790514786	0.0414310296933592	0.0435084885038298
"201"	0.4	0.1	50	20	3	2	1	0.368	0.325085610998967	0.190960800073611	-0.0749143890010328	-0.187285972502582	-0.0036667530554044	0.0423470947671109
"9"	0.4	0.1	100	10	1	1	1	0.547	0.400020762295373	0.18926570558764	2.07622953726783e-05	5.19057384316957e-05	0.0199411474319309	0.0344344884844615
"45"	0.4	0.1	100	10	2	1	1	0.553	0.366382475122785	0.17093478988994	-0.0336175248772152	-0.084043812193038	0.0072140260544128	0.0299317897406366
"81"	0.4	0.1	100	10	3	1	1	0.554	0.321676581448659	0.153022000587102	-0.0783234185513408	-0.195808546378352	0.0133641431151961	0.0289367544416023
"117"	0.4	0.1	100	10	1	2	1	0.558	0.408353802229523	0.189917215520842	0.00835380222952337	0.0208845055738084	0.00758155641427406	0.035597580666427
"153"	0.4	0.1	100	10	2	2	1	0.538	0.36208320620857	0.171613608760974	-0.0379167937914301	-0.0947919844785754	0.000203181880567453	0.030876949697011
"189"	0.4	0.1	100	10	3	2	1	0.519	0.31320830425979	0.153771905184335	-0.0867916957402096	-0.216979239350524	0.00046512148050345	0.0311566162725099
"27"	0.4	0.1	100	20	1	1	1	0.683	0.406642525538385	0.165883282671754	0.00664252553838546	0.0166063138459636	0.00386384367622431	0.0273499679272975
"63"	0.4	0.1	100	20	2	1	1	0.671	0.359289720106505	0.150317585483261	-0.0407102798934947	-0.101775699733737	0.00860972592394236	0.023868591136498
"99"	0.4	0.1	100	20	3	1	1	0.639	0.312157766576995	0.133568269159272	-0.0878422334230049	-0.219605583557512	0.0165714903237429	0.0249798333304423
"135"	0.4	0.1	100	20	1	2	1	0.654	0.403438359935413	0.166973067025534	0.00343835993541342	0.00859589983853354	-0.00819650646817668	0.0283545459244585
"171"	0.4	0.1	100	20	2	2	1	0.648	0.360453309723136	0.150360896796748	-0.039546690276864	-0.0988667256921599	0.028321488144397	0.0229441519865805
"207"	0.4	0.1	100	20	3	2	1	0.659	0.319992021435947	0.134499959609577	-0.0800079785640533	-0.200019946410133	0.00832565858993752	0.0241940099906439
"15"	0.4	0.1	200	10	1	1	1	0.841	0.401431077032823	0.133711518378521	0.00143107703282325	0.00357769258205812	-0.000488477121550389	0.0178982976754153
"51"	0.4	0.1	200	10	2	1	1	0.855	0.360005359864006	0.120079262342866	-0.0399946401359942	-0.0999866003399856	0.0309913752980321	0.0151647636493171
"87"	0.4	0.1	200	10	3	1	1	0.844	0.321611670846253	0.107775736711872	-0.0783883291537472	-0.195970822884368	0.0287420619746319	0.017120348726725
"123"	0.4	0.1	200	10	1	2	1	0.849	0.402490680494325	0.133829247316019	0.00249068049432516	0.0062267012358129	-0.00536123489627646	0.0181100687180457
"159"	0.4	0.1	200	10	2	2	1	0.849	0.361531985433202	0.120993834056853	-0.0384680145667977	-0.0961700364169943	0.0187018503633556	0.0155867108821333
"195"	0.4	0.1	200	10	3	2	1	0.834	0.320578931630659	0.10770056030585	-0.079421068369341	-0.198552670923352	-0.0126291044163031	0.0182057422030037
"33"	0.4	0.1	200	20	1	1	1	0.927	0.401531210810721	0.117994127042766	0.00153121081072066	0.00382802702680166	0.0252151812581354	0.0132485268565547
"69"	0.4	0.1	200	20	2	1	1	0.929	0.365055611226736	0.106232267309913	-0.0349443887732645	-0.0873609719331613	-0.0115586814708192	0.0127718851595433
"105"	0.4	0.1	200	20	3	1	1	0.912	0.317408148229205	0.0948396818839075	-0.0825918517707946	-0.206479629426986	0.0272011019042044	0.0153459200410475
"141"	0.4	0.1	200	20	1	2	1	0.917	0.399960142401374	0.1180807543593	-3.98575986260696e-05	-9.96439965651741e-05	-0.0182173973504576	0.014465305878662
"177"	0.4	0.1	200	20	2	2	1	0.927	0.354763662186382	0.106198179075082	-0.0452363378136185	-0.113090844534046	0.0372625385661999	0.0125286303325696
"213"	0.4	0.1	200	20	3	2	1	0.931	0.321864804298645	0.0949289737053426	-0.0781351957013552	-0.195337989253388	0.0496435101787327	0.014284367071374
"6"	0.4	0.25	50	10	1	1	1	0.337	0.401738008057957	0.257211721786428	0.00173800805795693	0.00434502014489233	0.0227289100188637	0.0632530087644758
"42"	0.4	0.25	50	10	2	1	1	0.329	0.370063884481718	0.232896105455814	-0.0299361155182822	-0.0748402887957056	0.0350513462877207	0.0515253241701949
"78"	0.4	0.25	50	10	3	1	1	0.334	0.324073385151768	0.207880133774812	-0.0759266148482317	-0.189816537120579	-0.043739042423376	0.0530226101374264
"114"	0.4	0.25	50	10	1	2	1	0.323	0.388115919680542	0.25757281089159	-0.0118840803194582	-0.0297102007986455	-0.0331064177586013	0.0711059817794452
"150"	0.4	0.25	50	10	2	2	1	0.336	0.362825748362935	0.2326621054841	-0.0371742516370652	-0.0929356290926631	0.0311070462368779	0.0522966964213097
"186"	0.4	0.25	50	10	3	2	1	0.307	0.31790709442537	0.208971985418151	-0.0820929055746298	-0.205232263936574	0.0244834323286372	0.0483462313455678
"24"	0.4	0.25	50	20	1	1	1	0.414	0.405291645499628	0.229768321922783	0.00529164549962768	0.0132291137490692	-0.0110288104240656	0.0540055336712519
"60"	0.4	0.25	50	20	2	1	1	0.388	0.358016421748099	0.208369569485087	-0.0419835782519013	-0.104958945629753	0.0458405306541748	0.0414577895251811
"96"	0.4	0.25	50	20	3	1	1	0.398	0.315613803025732	0.184296853446954	-0.0843861969742684	-0.210965492435671	-0.0296084324053137	0.0431906706665187
"132"	0.4	0.25	50	20	1	2	1	0.405	0.39820588964075	0.229906154344613	-0.00179411035924959	-0.00448527589812397	-0.00576317618493578	0.0534746127560287
"168"	0.4	0.25	50	20	2	2	1	0.373	0.3541294678714	0.207913006219521	-0.0458705321285997	-0.114676330321499	-0.0660688578317587	0.0516643685920039
"204"	0.4	0.25	50	20	3	2	1	0.406	0.324313174637693	0.185674521997211	-0.0756868253623069	-0.189217063405767	0.00795673800584972	0.0396613851470704
"12"	0.4	0.25	100	10	1	1	0.999	0.596	0.406824283517837	0.18202130192756	0.00682428351783726	0.0170607087945931	0.014087912682882	0.0322641734516873
"48"	0.4	0.25	100	10	2	1	1	0.595	0.363675578927456	0.164076833771754	-0.0363244210725444	-0.0908110526813609	-0.0117225067331711	0.0288831133690387
"84"	0.4	0.25	100	10	3	1	1	0.589	0.322646725011358	0.146467573864277	-0.0773532749886418	-0.193383187471605	0.00137419738816846	0.0273774400315913
"120"	0.4	0.25	100	10	1	2	1	0.563	0.391651436315828	0.182333534095594	-0.00834856368417231	-0.0208714092104308	0.000881003688159721	0.0332567146454756
"156"	0.4	0.25	100	10	2	2	1	0.581	0.364177586893436	0.164150062827909	-0.0358224131065642	-0.0895560327664105	-0.0459151420359151	0.0308843623099575
"192"	0.4	0.25	100	10	3	2	1	0.573	0.320772035382744	0.147162393196697	-0.0792279646172558	-0.19806991154314	0.0145133440093288	0.0273186411033085
"30"	0.4	0.25	100	20	1	1	1	0.687	0.399725869032758	0.16317182036157	-0.000274130967241992	-0.000685327418104981	0.0266126685688632	0.0252626189038648
"66"	0.4	0.25	100	20	2	1	1	0.703	0.36572774434234	0.146455207021778	-0.0342722556576604	-0.085680639144151	0.0302894536640122	0.0213810889201823
"102"	0.4	0.25	100	20	3	1	1	0.673	0.32126322182478	0.130476996275474	-0.07873677817522	-0.19684194543805	-0.0019857604854844	0.0232915408735599
"138"	0.4	0.25	100	20	1	2	1	0.691	0.400158920022704	0.162661358990867	0.000158920022704068	0.000397300056760169	-0.0205423468819577	0.0275802286598406
"174"	0.4	0.25	100	20	2	2	1	0.689	0.366663310913062	0.147067071646857	-0.0333366890869379	-0.0833417227173448	-0.00229259320947589	0.0228395722177365
"210"	0.4	0.25	100	20	3	2	1	0.646	0.311515276909182	0.131090787240901	-0.0884847230908176	-0.221211807727044	0.0127715895901618	0.0245836547036208
"18"	0.4	0.25	200	10	1	1	1	0.884	0.404898187565535	0.128845548112162	0.00489818756553478	0.012245468913837	0.0191668257394585	0.0160066234025049
"54"	0.4	0.25	200	10	2	1	1	0.868	0.362638038235686	0.116312787551262	-0.037361961764314	-0.093404904410785	-0.0385577395706479	0.0160314481606055
"90"	0.4	0.25	200	10	3	1	1	0.855	0.318902087723195	0.103887042125311	-0.0810979122768048	-0.202744780692012	-0.00812792758784216	0.0175469928822672
"126"	0.4	0.25	200	10	1	2	1	0.854	0.391296144945084	0.129060255374885	-0.008703855054916	-0.02175963763729	0.0384946974034646	0.0155203502846988
"162"	0.4	0.25	200	10	2	2	1	0.851	0.351784061720792	0.116646754560369	-0.0482159382792084	-0.120539845698021	0.0341785353090042	0.0150467441751048
"198"	0.4	0.25	200	10	3	2	1	0.85	0.317085562206827	0.104307781055721	-0.0829144377931734	-0.207286094482934	-0.0275987104685703	0.0183812806649746
"36"	0.4	0.25	200	20	1	1	1	0.939	0.3976545038073	0.1147120868501	-0.00234549619270047	-0.00586374048175117	-0.0216534424030787	0.0137532922712747
"72"	0.4	0.25	200	20	2	1	1	0.941	0.360068548170796	0.103942343361186	-0.0399314518292042	-0.0998286295730104	-0.00260012411623486	0.0124549350147827
"108"	0.4	0.25	200	20	3	1	1	0.942	0.325912369986971	0.092425467519659	-0.0740876300130294	-0.185219075032573	-0.0194572878712466	0.0143738305968369
"144"	0.4	0.25	200	20	1	2	1	0.943	0.401275846498877	0.115475937912357	0.00127584649887658	0.00318961624719144	-0.000598168416556739	0.0133522871296095
"180"	0.4	0.25	200	20	2	2	1	0.933	0.362722306709691	0.104092485481106	-0.0372776932903093	-0.0931942332257733	-0.0042975361273175	0.0123186054699985
"216"	0.4	0.25	200	20	3	2	1	0.941	0.322662939366298	0.0928309965661914	-0.0773370606337018	-0.193342651584254	0.0301580130444683	0.014101438017085
"2"	0.2	0.1	50	10	1	1	0.996	0.109	0.205815665511878	0.271034852118217	0.00581566551187809	0.0290783275593905	0.00132883619177597	0.0732988691636386
"38"	0.2	0.1	50	10	2	1	0.999	0.111	0.182132732542946	0.244406499827693	-0.0178672674570544	-0.0893363372852719	0.00124597501884827	0.0599051986661378
"74"	0.2	0.1	50	10	3	1	0.997	0.095	0.160043881235649	0.218506046735173	-0.0399561187643508	-0.199780593821754	0.0222799436912364	0.0472829230802153
"110"	0.2	0.1	50	10	1	2	0.997	0.097	0.19402332180003	0.272257040615716	-0.00597667819997041	-0.0298833909998521	0.0506845776710638	0.0671806968271029
"146"	0.2	0.1	50	10	2	2	0.996	0.126	0.185523919803755	0.244068280692873	-0.0144760801962448	-0.072380400981224	-0.0368297566009178	0.0644216120414648
"182"	0.2	0.1	50	10	3	2	0.995	0.109	0.163116404415146	0.219082161957199	-0.036883595584854	-0.18441797792427	-0.0014209150580101	0.0494940838827418
"20"	0.2	0.1	50	20	1	1	1	0.134	0.205494286454317	0.234548443176199	0.00549428645431696	0.0274714322715848	-0.0216704801422249	0.0575072799751071
"56"	0.2	0.1	50	20	2	1	1	0.127	0.184132287342541	0.21283243473371	-0.0158677126574594	-0.0793385632872969	0.0147169680572703	0.0442450074066663
