"gamma"	"tau"	"n2"	"n1"	"loadings"	"varw"	"ASR"	"Pwr"	"cr"	"secr"	"biascr"	"RBcr"	"RSEBcr"	"MSEcr"
"3"	0.4	0.1	50	10	1	1	0.774	0.329	0.410779350327501	0.265591133879104	0.0107793503275014	0.0269483758187536	0.0374521526961903	0.0656538638670405
"39"	0.4	0.1	50	10	2	1	0.761	0.322	0.372176986597216	0.239079247491899	-0.0278230134027836	-0.069557533506959	0.00206295497500158	0.0576979020025801
"75"	0.4	0.1	50	10	3	1	0.772	0.297	0.320050674804606	0.214231723601345	-0.079949325195394	-0.199873312988485	-0.00820548521957161	0.0530496841327988
"111"	0.4	0.1	50	10	1	2	0.761	0.311	0.391258421485096	0.267871001790717	-0.00874157851490376	-0.0218539462872594	-0.00265031886853739	0.0722131528067508
"147"	0.4	0.1	50	10	2	2	0.777	0.306	0.35578360211144	0.239617292664419	-0.0442163978885601	-0.1105409947214	0.0033515220724565	0.0589885980226935
"183"	0.4	0.1	50	10	3	2	0.771	0.316	0.330415211982874	0.213791998017503	-0.069584788017126	-0.173961970042815	0.0270669829248423	0.0481717101539893
"21"	0.4	0.1	50	20	1	1	0.948	0.388	0.403582851597033	0.231502326774191	0.00358285159703314	0.00895712899258286	-0.021301077217565	0.0559644355277649
"57"	0.4	0.1	50	20	2	1	0.93	0.378	0.355852954143076	0.207919866887704	-0.0441470458569238	-0.11036761464231	0.0159308917106639	0.0438344559001964
"93"	0.4	0.1	50	20	3	1	0.956	0.377	0.314233355686272	0.185818321445569	-0.0857666443137279	-0.21441661078432	-0.0490875227880086	0.0455411967408495
"129"	0.4	0.1	50	20	1	2	0.933	0.404	0.398378706003579	0.231200135684871	-0.00162129399642091	-0.00405323499105228	-0.0151671560670603	0.0551152567462719
"165"	0.4	0.1	50	20	2	2	0.927	0.394	0.365490968379409	0.209907331452739	-0.0345090316205912	-0.0862725790514779	0.0203919287666405	0.0435084885038297
"201"	0.4	0.1	50	20	3	2	0.941	0.383	0.325085610998967	0.187106627832159	-0.0749143890010332	-0.187285972502583	-0.0237758013110158	0.0423470947671111
"9"	0.4	0.1	100	10	1	1	0.893	0.557	0.400020762295372	0.187379554354045	2.07622953724562e-05	5.19057384311405e-05	0.00977679543033381	0.0344344884844614
"45"	0.4	0.1	100	10	2	1	0.898	0.568	0.366382475122785	0.169243129784977	-0.0336175248772153	-0.0840438121930383	-0.00275389086953395	0.0299317897406367
"81"	0.4	0.1	100	10	3	1	0.887	0.559	0.321676581448659	0.151492856886584	-0.0783234185513406	-0.195808546378351	0.00323762934704806	0.0289367544416023
"117"	0.4	0.1	100	10	1	2	0.9	0.562	0.408353802229523	0.188042068442206	0.0083538022295232	0.020884505573808	-0.00236679717134821	0.0355975806664271
"153"	0.4	0.1	100	10	2	2	0.897	0.549	0.362083206208569	0.169904732112807	-0.0379167937914305	-0.0947919844785763	-0.0097565402724589	0.030876949697011
"189"	0.4	0.1	100	10	3	2	0.897	0.53	0.313208304259791	0.152253611890455	-0.0867916957402095	-0.216979239350524	-0.00941314258134846	0.03115661627251
"27"	0.4	0.1	100	20	1	1	0.994	0.691	0.406642525538385	0.16421606752323	0.0066425255383854	0.0166063138459635	-0.00622552145011955	0.0273499679272974
"63"	0.4	0.1	100	20	2	1	0.994	0.678	0.359289720106505	0.14880701980074	-0.0407102798934947	-0.101775699733737	-0.00152595603328964	0.0238685911364979
"99"	0.4	0.1	100	20	3	1	0.995	0.649	0.312157766576995	0.132225823686001	-0.0878422334230052	-0.219605583557513	0.00635430472994763	0.0249798333304425
"135"	0.4	0.1	100	20	1	2	0.992	0.666	0.403438359935413	0.165294997940077	0.00343835993541319	0.00859589983853298	-0.0181640707645788	0.0283545459244586
"171"	0.4	0.1	100	20	2	2	0.989	0.658	0.360453309723136	0.148850472091479	-0.039546690276864	-0.0988667256921601	0.0179916602852874	0.0229441519865802
"207"	0.4	0.1	100	20	3	2	0.989	0.668	0.319992021435947	0.133148187808795	-0.0800079785640535	-0.200019946410134	-0.00180836818036256	0.024194009990644
"15"	0.4	0.1	200	10	1	1	0.978	0.841	0.401431077032824	0.133043735906682	0.00143107703282391	0.00357769258205978	-0.0054802406096434	0.0178982976754152
"51"	0.4	0.1	200	10	2	1	0.971	0.86	0.360005359864006	0.119480586911838	-0.0399946401359941	-0.0999866003399853	0.0258511937716798	0.0151647636493172
"87"	0.4	0.1	200	10	3	1	0.982	0.845	0.321611670846253	0.107236562409115	-0.0783883291537469	-0.195970822884367	0.0235955299173794	0.0171203487267249
"123"	0.4	0.1	200	10	1	2	0.967	0.852	0.402490680494325	0.133159259948165	0.00249068049432516	0.0062267012358129	-0.0103406801338677	0.0181100687180458
"159"	0.4	0.1	200	10	2	2	0.973	0.85	0.361531985433203	0.120389011784094	-0.0384680145667969	-0.0961700364169922	0.0136095779082827	0.0155867108821333
"195"	0.4	0.1	200	10	3	2	0.965	0.837	0.320578931630659	0.10716490205101	-0.0794210683693409	-0.198552670923352	-0.01753988082551	0.0182057422030037
"33"	0.4	0.1	200	20	1	1	0.996	0.928	0.40153121081072	0.117402708539368	0.00153121081071966	0.00382802702679916	0.0200765252643458	0.0132485268565548
"69"	0.4	0.1	200	20	2	1	0.995	0.931	0.365055611226735	0.105699787682133	-0.0349443887732654	-0.0873609719331636	-0.0165131541437752	0.0127718851595433
"105"	0.4	0.1	200	20	3	1	0.995	0.913	0.317408148229206	0.0943642696976884	-0.0825918517707943	-0.206479629426986	0.0220519500740577	0.0153459200410474
"141"	0.4	0.1	200	20	1	2	0.993	0.92	0.399960142401373	0.11748888125443	-3.98575986272354e-05	-9.96439965680884e-05	-0.0231385271356655	0.0144653058786619
"177"	0.4	0.1	200	20	2	2	0.996	0.927	0.354763662186381	0.10566589622914	-0.0452363378136187	-0.113090844534047	0.0320636070889618	0.0125286303325699
"213"	0.4	0.1	200	20	3	2	0.991	0.931	0.321864804298646	0.0944531445644452	-0.0781351957013543	-0.195337989253386	0.0443821979554787	0.0142843670713739
"6"	0.4	0.25	50	10	1	1	0.964	0.345	0.401738008057957	0.252021082894879	0.00173800805795704	0.0043450201448926	0.00208981776060508	0.0632530087644756
"42"	0.4	0.25	50	10	2	1	0.961	0.344	0.370063884481718	0.228192801433889	-0.0299361155182823	-0.0748402887957057	0.014148630244585	0.051525324170195
"78"	0.4	0.25	50	10	3	1	0.97	0.344	0.324073385151768	0.203685295763092	-0.0759266148482318	-0.189816537120579	-0.0630355463322676	0.0530226101374265
"114"	0.4	0.25	50	10	1	2	0.96	0.34	0.388115919680542	0.252369076046769	-0.011884080319458	-0.0297102007986449	-0.0526405363160944	0.071105981779445
"150"	0.4	0.25	50	10	2	2	0.955	0.346	0.362825748362935	0.227971184617794	-0.0371742516370651	-0.0929356290926628	0.0103179213876741	0.0522966964213097
"186"	0.4	0.25	50	10	3	2	0.965	0.32	0.31790709442537	0.204764881163129	-0.0820929055746297	-0.205232263936574	0.00385813847058965	0.0483462313455678
"24"	0.4	0.25	50	20	1	1	1	0.427	0.405291645499627	0.225126788869723	0.0052916454996273	0.0132291137490682	-0.0310069450360381	0.054005533671252
"60"	0.4	0.25	50	20	2	1	0.999	0.401	0.358016421748099	0.204159667305558	-0.041983578251901	-0.104958945629752	0.0247103515194734	0.041457789525181
"96"	0.4	0.25	50	20	3	1	1	0.411	0.315613803025731	0.180573198633132	-0.084386196974269	-0.210965492435673	-0.0492148617305253	0.043190670666519
"132"	0.4	0.25	50	20	1	2	0.997	0.426	0.398205889640752	0.225261074129118	-0.00179411035924815	-0.00448527589812037	-0.0258509803282594	0.0534746127560286
"168"	0.4	0.25	50	20	2	2	0.996	0.394	0.3541294678714	0.203712268964995	-0.0458705321286	-0.1146763303215	-0.0849382850667489	0.0516643685920038
"204"	0.4	0.25	50	20	3	2	0.996	0.419	0.324313174637693	0.181923197305973	-0.0756868253623067	-0.189217063405767	-0.0124077845915944	0.0396613851470704
"12"	0.4	0.25	100	10	1	1	0.996	0.602	0.406824283517837	0.180191951829954	0.00682428351783698	0.0170607087945925	0.00389612852135011	0.0322641734516873
"48"	0.4	0.25	100	10	2	1	0.999	0.606	0.363675578927455	0.162427778462839	-0.0363244210725446	-0.0908110526813614	-0.0216551962511842	0.0288831133690388
"84"	0.4	0.25	100	10	3	1	1	0.595	0.322646725011358	0.144995472000849	-0.0773532749886423	-0.193383187471606	-0.00869031575335888	0.0273774400315914
"120"	0.4	0.25	100	10	1	2	0.997	0.577	0.391651436315828	0.180500983282269	-0.00834856368417208	-0.0208714092104302	-0.00917839271660623	0.0332567146454754
"156"	0.4	0.25	100	10	2	2	0.998	0.588	0.364177586893435	0.16250040835058	-0.0358224131065646	-0.0895560327664116	-0.055503383006267	0.0308843623099576
"192"	0.4	0.25	100	10	3	2	0.996	0.585	0.320772035382744	0.145683351057913	-0.0792279646172558	-0.198069911543139	0.00431707067104376	0.0273186411033086
"30"	0.4	0.25	100	20	1	1	1	0.696	0.399725869032758	0.161531889830847	-0.000274130967242325	-0.000685327418105813	0.0162948731634917	0.0252626189038646
"66"	0.4	0.25	100	20	2	1	1	0.709	0.36572774434234	0.144983176889771	-0.0342722556576604	-0.085680639144151	0.0199339521333929	0.0213810889201818
"102"	0.4	0.25	100	20	3	1	0.999	0.678	0.32126322182478	0.129165650672817	-0.0787367781752201	-0.19684194543805	-0.012016199733282	0.0232915408735599
"138"	0.4	0.25	100	20	1	2	1	0.697	0.400158920022706	0.161026563232251	0.000158920022705955	0.000397300056764888	-0.0303861919536715	0.0275802286598405
"174"	0.4	0.25	100	20	2	2	0.999	0.694	0.366663310913063	0.145588955987851	-0.0333366890869369	-0.0833417227173423	-0.0123201739899332	0.0228395722177367
"210"	0.4	0.25	100	20	3	2	0.998	0.649	0.311515276909182	0.129773256746439	-0.0884847230908177	-0.221211807727044	0.00259270912651984	0.0245836547036208
"18"	0.4	0.25	200	10	1	1	1	0.886	0.404898187565535	0.12819968514163	0.00489818756553501	0.0122454689138375	0.0140580569602138	0.0160066234025049
"54"	0.4	0.25	200	10	2	1	0.998	0.87	0.362638038235686	0.115729787535976	-0.0373619617643139	-0.0934049044107849	-0.0433768214990239	0.0160314481606056
"90"	0.4	0.25	200	10	3	1	0.998	0.857	0.318902087723195	0.103366304397537	-0.0810979122768048	-0.202744780692012	-0.0130997238644964	0.0175469928822673
"126"	0.4	0.25	200	10	1	2	0.998	0.859	0.391296144945083	0.128413351061994	-0.00870385505491694	-0.0217596376372924	0.0332893249461316	0.0155203502846989
"162"	0.4	0.25	200	10	2	2	1	0.853	0.351784061720792	0.116062092404317	-0.0482159382792077	-0.120539845698019	0.0289949787284961	0.0150467441751047
"198"	0.4	0.25	200	10	3	2	1	0.851	0.317085562206827	0.10378494891471	-0.0829144377931731	-0.207286094482933	-0.0324727730071668	0.0183812806649746
"36"	0.4	0.25	200	20	1	1	0.998	0.942	0.397654503807297	0.114137069356366	-0.00234549619270313	-0.00586374048175783	-0.0265576020343976	0.0137532922712754
"72"	0.4	0.25	200	20	2	1	0.998	0.943	0.360068548170797	0.10342132592098	-0.0399314518292034	-0.0998286295730084	-0.00759965282982449	0.0124549350147822
"108"	0.4	0.25	200	20	3	1	0.998	0.944	0.325912369986969	0.0919621225552974	-0.0740876300130312	-0.185219075032578	-0.0243729192464389	0.0143738305968372
"144"	0.4	0.25	200	20	1	2	0.997	0.943	0.401275846498878	0.114897088482717	0.00127584649887835	0.00318961624719588	-0.00560789763504099	0.0133522871296093
"180"	0.4	0.25	200	20	2	2	0.999	0.937	0.362722306709691	0.103570735416512	-0.0372776932903087	-0.0931942332257718	-0.00928836541189346	0.0123186054699988
"216"	0.4	0.25	200	20	3	2	0.998	0.942	0.3226629393663	0.0923656587864096	-0.0773370606337002	-0.193342651584251	0.0249940973229249	0.0141014380170848
"2"	0.2	0.1	50	10	1	1	0.782	0.115	0.205815665511878	0.265640012079615	0.0058156655118779	0.0290783275593895	-0.0186022127308099	0.0732988691636386
"38"	0.2	0.1	50	10	2	1	0.752	0.12	0.182132732542945	0.239603156103379	-0.0178672674570546	-0.0893363372852729	-0.0184316054628194	0.0599051986661381
"74"	0.2	0.1	50	10	3	1	0.752	0.103	0.160043881235649	0.214145734999283	-0.0399561187643506	-0.199780593821753	0.00188023712730782	0.0472829230802153
"110"	0.2	0.1	50	10	1	2	0.76	0.101	0.194023321800029	0.266885597044842	-0.00597667819997075	-0.0298833909998537	0.029955295860814	0.0671806968271029
"146"	0.2	0.1	50	10	2	2	0.775	0.138	0.185523919803755	0.239285147694194	-0.0144760801962449	-0.0723804009812246	-0.0557055046558015	0.0644216120414647
