"gamma"	"tau"	"n2"	"n1"	"loadings"	"varw"	"ASR"	"Pwr"	"cr"	"secr"	"biascr"	"RBcr"	"RSEBcr"	"MSEcr"
"3"	0.4	0.1	50	10	1	1	0.926	0.346	0.410536	0.265992	0.010536	0.02634	0.0374765067291273	0.0658435765692733
"39"	0.4	0.1	50	10	2	1	0.914	0.331	0.414109	0.266257	0.014109	0.0352725	0.000527217979626132	0.0710171610972162
"75"	0.4	0.1	50	10	3	1	0.887	0.315	0.39977	0.267951	-0.000230000000000008	-0.00057500000000002	-0.00696390610511877	0.0728083202673674
"111"	0.4	0.1	50	10	1	2	0.919	0.328	0.391622	0.267553	-0.008378	-0.020945	-0.00478749911211144	0.0723451749841001
"147"	0.4	0.1	50	10	2	2	0.911	0.319	0.395965	0.265295	-0.00403500000000001	-0.0100875	0.000997377734438255	0.070257534253028
"183"	0.4	0.1	50	10	3	2	0.864	0.329	0.411839	0.266334	0.011839	0.0295975	0.0310502333685486	0.0668659287668458
"21"	0.4	0.1	50	20	1	1	0.955	0.404	0.403676	0.231773	0.00367599999999996	0.00918999999999989	-0.0200969087780275	0.0559582747617858
"57"	0.4	0.1	50	20	2	1	0.937	0.4	0.395368	0.231217	-0.00463200000000002	-0.0115800000000001	0.0169354608480884	0.0517169555000761
"93"	0.4	0.1	50	20	3	1	0.924	0.395	0.392348	0.232329	-0.00765200000000005	-0.0191300000000001	-0.0499635702907688	0.0598620154623584
"129"	0.4	0.1	50	20	1	2	0.957	0.422	0.398866	0.231076	-0.00113400000000002	-0.00283500000000006	-0.0171156406672349	0.055273241956
"165"	0.4	0.1	50	20	2	2	0.933	0.408	0.405741	0.232748	0.005741	0.0143525	0.0198693585229507	0.0521143804213403
"201"	0.4	0.1	50	20	3	2	0.923	0.404	0.406166	0.233427	0.006166	0.015415	-0.0228402999313713	0.0571031851656096
"9"	0.4	0.1	100	10	1	1	0.97	0.562	0.400024	0.187603	2.39999999999685e-05	5.99999999999212e-05	0.0107428778012094	0.0344507107101341
"45"	0.4	0.1	100	10	2	1	0.95	0.567	0.407075	0.188273	0.007075	0.0176875	0.00199390813821276	0.0353558447891642
"81"	0.4	0.1	100	10	3	1	0.939	0.568	0.402048	0.189509	0.00204799999999999	0.00511999999999999	0.00683502569696479	0.0354319017074034
"117"	0.4	0.1	100	10	1	2	0.972	0.574	0.407911	0.187576	0.007911	0.0197775	-0.00290065264136038	0.0354523487648438
"153"	0.4	0.1	100	10	2	2	0.951	0.561	0.40301	0.188436	0.00300999999999996	0.00752499999999989	-0.0133943710626589	0.0364878628027027
"189"	0.4	0.1	100	10	3	2	0.936	0.555	0.392361	0.189487	-0.00763900000000001	-0.0190975	-0.0107916448051025	0.0367513600056847
"27"	0.4	0.1	100	20	1	1	0.991	0.693	0.406689	0.164374	0.006689	0.0167225	-0.00514528022337861	0.0273437540112903
"63"	0.4	0.1	100	20	2	1	0.988	0.688	0.399136	0.165396	-0.000864000000000031	-0.00216000000000008	-0.0015012794205685	0.0274389061596637
"99"	0.4	0.1	100	20	3	1	0.985	0.659	0.390115	0.165216	-0.00988500000000003	-0.0247125000000001	0.00797533282081117	0.0269637990858609
"135"	0.4	0.1	100	20	1	2	0.986	0.675	0.403356	0.165148	0.00335599999999997	0.00838999999999993	-0.0201661044919695	0.0284193320693333
"171"	0.4	0.1	100	20	2	2	0.989	0.66	0.4004	0.165195	0.000399999999999956	0.00099999999999989	0.0181707745035356	0.02632420004004
"207"	0.4	0.1	100	20	3	2	0.983	0.676	0.399963	0.165967	-3.70000000000092e-05	-9.25000000000231e-05	0.00271743099242977	0.0273959509495806
"15"	0.4	0.1	200	10	1	1	0.985	0.843	0.40142	0.133135	0.00141999999999998	0.00354999999999994	-0.00587696054726986	0.0179371331167167
"51"	0.4	0.1	200	10	2	1	0.977	0.862	0.400158	0.132865	0.000157999999999991	0.000394999999999979	0.0256291414283229	0.0167818998749109
"87"	0.4	0.1	200	10	3	1	0.971	0.846	0.402118	0.134076	0.00211799999999995	0.00529499999999988	0.023579641389788	0.0171621756897658
"123"	0.4	0.1	200	10	1	2	0.986	0.853	0.402475	0.132929	0.002475	0.00618750000000001	-0.0123756686782259	0.0181218587331081
"159"	0.4	0.1	200	10	2	2	0.974	0.858	0.401862	0.13342	0.00186199999999997	0.00465499999999994	0.0104619976386893	0.0174376621951512
"195"	0.4	0.1	200	10	3	2	0.982	0.847	0.400121	0.133359	0.000120999999999982	0.000302499999999956	-0.0165773466048215	0.0183892742596186
"33"	0.4	0.1	200	20	1	1	1	0.93	0.401536	0.117463	0.00153599999999998	0.00383999999999995	0.0198282775271672	0.0132686062469509
"69"	0.4	0.1	200	20	2	1	0.999	0.932	0.405642	0.117509	0.00564199999999998	0.014105	-0.0173539902133855	0.0143322283962322
"105"	0.4	0.1	200	20	3	1	0.996	0.919	0.396799	0.117975	-0.00320100000000001	-0.00800250000000002	0.0264161165216813	0.0132211659195185
"141"	0.4	0.1	200	20	1	2	1	0.921	0.40026	0.117412	0.000259999999999982	0.000649999999999956	-0.0203343769849227	0.0143638637961962
